Identificador, Temperatura, Presión, Altitud, Longitud(GPS), Latitud(GPS), Altitud(GPS), Acelerómetro X, acelerómetro Y, Acelerómetro Z, gyroscopio X, gyroscopio Y, gyroscopio Z, número de paquete
OMEGA,29.63,99115.99,185.56,0.00,0.00,0.00,568,-8324,16044,3464,-5872,-32768,975
OMEGA,29.64,99115.91,185.57,0.00,0.00,0.00,10272,-1276,14652,4708,2252,23398,976
OMEGA,29.64,99114.45,185.69,0.00,0.00,0.00,4928,-8516,17620,434,4079,8391,977
OMEGA,29.64,99115.41,185.61,0.00,0.00,0.00,2384,-856,17244,1505,-398,3387,978
OMEGA,29.64,99116.97,185.48,0.00,0.00,0.00,-4220,1464,15748,-1991,2658,-1698,979
OMEGA,29.65,99117.61,185.42,0.00,0.00,0.00,-6100,-3612,15644,3593,-1799,-1499,980
OMEGA,29.65,99118.47,185.35,0.00,0.00,0.00,948,-5916,19144,-198,3629,-18980,981
OMEGA,29.66,99117.83,185.41,0.00,0.00,0.00,-2232,-3268,18268,-3524,-1376,-559,982
OMEGA,29.66,99116.67,185.50,0.00,0.00,0.00,-7180,-2300,16040,-6544,13630,596,983
OMEGA,29.67,99118.32,185.36,0.00,0.00,0.00,1080,-6108,17144,4242,3121,20037,984
OMEGA,29.67,99118.32,185.21,0.00,0.00,0.00,-3048,-2556,18388,2560,9291,-20,985
OMEGA,29.67,99120.08,185.22,0.00,0.00,0.00,-3820,-7404,17028,-1673,13485,-691,986
OMEGA,29.67,99117.22,185.46,0.00,0.00,0.00,-12012,-1676,10556,3762,6471,2185,987
OMEGA,29.68,99118.31,185.37,0.00,0.00,0.00,64,-11160,16484,4052,-2816,-14500,988
OMEGA,29.68,99117.48,185.43,0.00,0.00,0.00,-1284,-13656,11008,-8129,-302,3997,989
OMEGA,29.69,99117.09,185.47,0.00,0.00,0.00,-1840,-9676,10380,3511,-4838,24647,990
OMEGA,29.70,99121.26,185.12,0.00,0.00,0.00,-1168,-6932,16060,16347,-6157,-4641,991
OMEGA,29.69,99119.51,185.26,0.00,0.00,0.00,2880,-2700,17264,-3041,3678,5461,992
OMEGA,29.70,99117.84,185.40,0.00,0.00,0.00,-1072,-6572,20376,3850,-5566,-8627,993
OMEGA,29.70,99118.20,185.37,0.00,0.00,0.00,-3576,-9964,13568,3261,7760,-2351,994
OMEGA,29.70,99118.88,185.32,0.00,0.00,0.00,68,-10032,12028,-12097,3292,3229,995
